1.1.1.1	alcohol dehydrogenase
1.1.1.97	3-hydroxybenzyl-alcohol dehydrogenase
1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase
1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
1.1.1.101	acylglycerone-phosphate reductase
1.1.1.102	3-dehydrosphinganine reductase
1.1.1.103	L-threonine 3-dehydrogenase
1.1.1.104	4-oxoproline reductase
1.1.1.105	all-trans-retinol dehydrogenase (NAD(+))
1.1.1.106	pantoate 4-dehydrogenase
1.1.1.107	pyridoxal 4-dehydrogenase
1.1.1.108	carnitine 3-dehydrogenase
1.1.1.110	aromatic 2-oxoacid reductase
1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase
1.1.1.112	indanol dehydrogenase
1.1.1.113	L-xylose 1-dehydrogenase
1.1.1.114	apiose 1-reductase
1.1.1.115	ribose 1-dehydrogenase (NADP(+))
1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))
1.1.1.117	D-arabinose 1-dehydrogenase [NAD(P)(+)]
1.1.1.118	glucose 1-dehydrogenase (NAD(+))
1.1.1.119	glucose 1-dehydrogenase (NADP(+))
1.1.1.120	galactose 1-dehydrogenase (NADP(+))
1.1.1.121	aldose 1-dehydrogenase (NAD(+))
1.1.1.122	D-threo-aldose 1-dehydrogenase
1.1.1.123	sorbose 5-dehydrogenase (NADP(+))
1.1.1.124	fructose 5-dehydrogenase (NADP(+))
1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase
1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase
1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
1.1.1.129	L-threonate 3-dehydrogenase
1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase
1.1.1.131	mannuronate reductase
1.1.1.132	GDP-mannose 6-dehydrogenase
1.1.1.133	dTDP-4-dehydrorhamnose reductase
1.1.1.134	dTDP-6-deoxy-L-talose 4-dehydrogenase
1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase
1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase
1.1.1.137	ribitol-5-phosphate 2-dehydrogenase
1.1.1.138	mannitol 2-dehydrogenase (NADP(+))
1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase
1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))
1.1.1.142	D-pinitol dehydrogenase
1.1.1.143	sequoyitol dehydrogenase
1.1.1.144	perillyl-alcohol dehydrogenase
1.1.1.145	3beta-hydroxy-Delta(5)-steroid dehydrogenase
1.1.1.146	11beta-hydroxysteroid dehydrogenase
1.1.1.147	16alpha-hydroxysteroid dehydrogenase
1.1.1.148	estradiol 17alpha-dehydrogenase
1.1.1.149	20alpha-hydroxysteroid dehydrogenase
1.1.1.150	21-hydroxysteroid dehydrogenase (NAD(+))
1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))
1.1.1.152	3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase
1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
1.1.1.154	ureidoglycolate dehydrogenase
1.1.1.156	glycerol 2-dehydrogenase (NADP(+))
1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase
1.1.1.159	7alpha-hydroxysteroid dehydrogenase
1.1.1.160	dihydrobunolol dehydrogenase
1.1.1.162	erythrulose reductase
1.1.1.163	cyclopentanol dehydrogenase
1.1.1.164	hexadecanol dehydrogenase
1.1.1.165	2-alkyn-1-ol dehydrogenase
1.1.1.166	hydroxycyclohexanecarboxylate dehydrogenase
1.1.1.167	hydroxymalonate dehydrogenase
1.1.1.168	2-dehydropantolactone reductase (Re-specific)
1.1.1.169	2-dehydropantoate 2-reductase
1.1.1.170	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)
1.1.1.172	2-oxoadipate reductase
1.1.1.173	L-rhamnose 1-dehydrogenase
1.1.1.174	cyclohexane-1,2-diol dehydrogenase
1.1.1.175	D-xylose 1-dehydrogenase
1.1.1.176	12alpha-hydroxysteroid dehydrogenase
1.1.1.177	glycerol-3-phosphate 1-dehydrogenase (NADP(+))
1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase
1.1.1.179	D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,5-lactone-forming)
1.1.1.181	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase
1.1.1.183	geraniol dehydrogenase (NADP(+))
1.1.1.184	carbonyl reductase (NADPH)
1.1.1.185	L-glycol dehydrogenase
1.1.1.186	dTDP-galactose 6-dehydrogenase
1.1.1.187	GDP-4-dehydro-D-rhamnose reductase
1.1.1.188	prostaglandin-F synthase
1.1.1.189	prostaglandin-E2 9-reductase
1.1.1.190	indole-3-acetaldehyde reductase (NADH)
1.1.1.191	indole-3-acetaldehyde reductase (NADPH)
1.1.1.192	long-chain-alcohol dehydrogenase
1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase
1.1.1.194	coniferyl-alcohol dehydrogenase
1.1.1.195	cinnamyl-alcohol dehydrogenase
1.1.1.196	15-hydroxyprostaglandin-D dehydrogenase (NADP(+))
1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP(+))
1.1.1.198	(+)-borneol dehydrogenase
1.1.1.199	(S)-usnate reductase
1.1.1.200	aldose-6-phosphate reductase (NADPH)
1.1.1.201	7beta-hydroxysteroid dehydrogenase (NADP(+))
1.1.1.202	1,3-propanediol dehydrogenase
1.1.1.203	uronate dehydrogenase
1.1.1.205	IMP dehydrogenase
1.1.1.206	tropinone reductase I
1.1.1.207	(-)-menthol dehydrogenase
1.1.1.208	(+)-neomenthol dehydrogenase
1.1.1.209	3(or 17)alpha-hydroxysteroid dehydrogenase
1.1.1.210	3beta-(or 20alpha)-hydroxysteroid dehydrogenase
1.1.1.211	long-chain-3-hydroxyacyl-CoA dehydrogenase
1.1.1.212	3-oxoacyl-[acyl-carrier-protein] reductase (NADH)
1.1.1.213	3alpha-hydroxysteroid dehydrogenase (Re-specific)
1.1.1.214	2-dehydropantolactone reductase (Si-specific)
1.1.1.215	gluconate 2-dehydrogenase
1.1.1.216	farnesol dehydrogenase
1.1.1.217	benzyl-2-methyl-hydroxybutyrate dehydrogenase
1.1.1.218	morphine 6-dehydrogenase
1.1.1.219	dihydroflavanol 4-reductase
1.1.1.220	6-pyruvoyltetrahydropterin 2'-reductase
1.1.1.221	vomifoliol dehydrogenase
1.1.1.223	isopiperitenol dehydrogenase
1.1.1.224	mannose-6-phosphate 6-reductase
1.1.1.225	chlordecone reductase
1.1.1.226	trans-4-hydroxycyclohexanecarboxylate dehydrogenase
1.1.1.227	(-)-borneol dehydrogenase
1.1.1.228	(+)-sabinol dehydrogenase
1.1.1.229	diethyl 2-methyl-3-oxosuccinate reductase
1.1.1.230	3alpha-hydroxyglycyrrhetinate dehydrogenase
1.1.1.231	15-hydroxyprostaglandin-I dehydrogenase (NADP(+))
1.1.1.232	15-hydroxyicosatetraenoate dehydrogenase
1.1.1.233	N-acylmannosamine 1-dehydrogenase
1.1.1.234	flavanone 4-reductase
1.1.1.235	8-oxocoformycin reductase
1.1.1.236	tropinone reductase II
1.1.1.237	hydroxyphenylpyruvate reductase
1.1.1.238	12beta-hydroxysteroid dehydrogenase
1.1.1.239	3alpha-(17beta)-hydroxysteroid dehydrogenase (NAD(+))
1.1.1.240	N-acetylhexosamine 1-dehydrogenase
1.1.1.241	6-endo-hydroxycineole dehydrogenase
1.1.1.243	carveol dehydrogenase
1.1.1.244	methanol dehydrogenase
1.1.1.245	cyclohexanol dehydrogenase
1.1.1.247	codeinone reductase (NADPH)
1.1.1.248	salutaridine reductase (NADPH)
1.1.1.250	D-arabinitol 2-dehydrogenase
1.1.1.251	galactitol-1-phosphate 5-dehydrogenase
1.1.1.252	tetrahydroxynaphthalene reductase
1.1.1.254	(S)-carnitine 3-dehydrogenase
1.1.1.255	mannitol dehydrogenase
1.1.1.256	fluoren-9-ol dehydrogenase
1.1.1.257	4-(hydroxymethyl)benzenesulfonate dehydrogenase
1.1.1.258	6-hydroxyhexanoate dehydrogenase
1.1.1.259	3-hydroxypimeloyl-CoA dehydrogenase
1.1.1.260	sulcatone reductase
1.1.1.261	sn-glycerol-1-phosphate dehydrogenase
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
1.1.1.263	1,5-anhydro-D-fructose reductase
1.1.1.264	L-idonate 5-dehydrogenase [NAD(P)(+)]
1.1.1.265	3-methylbutanal reductase
1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase
1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase
1.1.1.269	2-(S)-hydroxypropyl-CoM dehydrogenase
1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase
1.1.1.271	GDP-L-fucose synthase
1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+))
1.1.1.273	vellosimine dehydrogenase
1.1.1.274	2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)
1.1.1.275	(+)-trans-carveol dehydrogenase
1.1.1.276	serine 3-dehydrogenase (NADP(+))
1.1.1.277	3beta-hydroxy-5beta-steroid dehydrogenase
1.1.1.278	3beta-hydroxy-5alpha-steroid dehydrogenase
1.1.1.279	(R)-3-hydroxyacid-ester dehydrogenase
1.1.1.280	(S)-3-hydroxyacid-ester dehydrogenase
1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase
1.1.1.282	quinate/shikimate dehydrogenase [NAD(P)(+)]
1.1.1.283	methylglyoxal reductase (NADPH)
1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
1.1.1.285	3''-deamino-3''-oxonicotianamine reductase
1.1.1.286	isocitrate--homoisocitrate dehydrogenase
1.1.1.287	D-arabinitol dehydrogenase (NADP(+))
1.1.1.288	xanthoxin dehydrogenase
1.1.1.289	sorbose reductase
1.1.1.290	4-phosphoerythronate dehydrogenase
1.1.1.291	2-hydroxymethylglutarate dehydrogenase
1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
1.1.1.294	chlorophyll(ide) b reductase
1.1.1.295	momilactone-A synthase
1.1.1.296	dihydrocarveol dehydrogenase
1.1.1.297	limonene-1,2-diol dehydrogenase
1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))
1.1.1.299	malate dehydrogenase [NAD(P)(+)]
1.1.1.300	NADP-retinol dehydrogenase
1.1.1.301	D-arabitol-phosphate dehydrogenase
1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
1.1.1.303	diacetyl reductase [(R)-acetoin forming]
1.1.1.304	diacetyl reductase [(S)-acetoin forming]
1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
1.1.1.307	D-xylose reductase [NAD(P)H]
1.1.1.308	sulfopropanediol 3-dehydrogenase
1.1.1.309	phosphonoacetaldehyde reductase (NADH)
1.1.1.310	(S)-sulfolactate dehydrogenase
1.1.1.311	(S)-1-phenylethanol dehydrogenase
1.1.1.312	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
1.1.1.313	sulfoacetaldehyde reductase (NADPH)
1.1.1.315	11-cis-retinol dehydrogenase
1.1.1.316	L-galactose 1-dehydrogenase
1.1.1.317	perakine reductase
1.1.1.318	eugenol synthase
1.1.1.319	isoeugenol synthase
1.1.1.320	benzil reductase [(S)-benzoin forming]
1.1.1.321	benzil reductase [(R)-benzoin forming]
1.1.1.322	(-)-endo-fenchol dehydrogenase
1.1.1.323	(+)-thujan-3-ol dehydrogenase
1.1.1.324	8-hydroxygeraniol dehydrogenase
1.1.1.325	sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
1.1.1.326	zerumbone synthase
1.1.1.327	5-exo-hydroxycamphor dehydrogenase
1.1.1.328	nicotine blue oxidoreductase
1.1.1.329	2-deoxy-scyllo-inosamine dehydrogenase
1.1.1.330	very-long-chain 3-oxoacyl-CoA reductase
1.1.1.331	secoisolariciresinol dehydrogenase
1.1.1.332	chanoclavine-I dehydrogenase
1.1.1.333	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
1.1.1.334	methylecgonone reductase
1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase
1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+))
1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
1.1.1.340	1-deoxy-11beta-hydroxypentalenate dehydrogenase
1.1.1.341	CDP-abequose synthase
1.1.1.342	CDP-paratose synthase
1.1.1.343	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
1.1.1.344	dTDP-6-deoxy-L-talose 4-dehydrogenase [NAD(P)(+)]
1.1.1.345	D-2-hydroxyacid dehydrogenase (NAD(+))
1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
1.1.1.347	geraniol dehydrogenase (NAD(+))
1.1.1.348	(3R)-2'-hydroxyisoflavanone reductase
1.1.1.349	norsolorinic acid ketoreductase
1.1.1.350	ureidoglycolate dehydrogenase (NAD(+))
1.1.1.351	phosphogluconate dehydrogenase [NAD(P)(+)-dependent, decarboxylating]
1.1.1.352	5'-hydroxyaverantin dehydrogenase
1.1.1.353	versiconal hemiacetal acetate reductase
1.1.1.354	farnesol dehydrogenase (NAD(+))
1.1.1.355	2'-dehydrokanamycin reductase
1.1.1.356	GDP-L-colitose synthase
1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase
1.1.1.358	2-dehydropantolactone reductase
1.1.1.359	aldose 1-dehydrogenase [NAD(P)(+)]
1.1.1.360	glucose/galactose 1-dehydrogenase
1.1.1.361	glucose-6-phosphate 3-dehydrogenase
1.1.1.362	aklaviketone reductase
1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)(+)]
1.1.1.364	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase
1.1.1.365	D-galacturonate reductase
1.1.1.366	L-idonate 5-dehydrogenase (NAD(+))
1.1.1.367	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
1.1.1.369	D-chiro-inositol 1-dehydrogenase
1.1.1.370	scyllo-inositol 2-dehydrogenase (NAD(+))
1.1.1.371	scyllo-inositol 2-dehydrogenase (NADP(+))
1.1.1.372	D/L-glyceraldehyde reductase
1.1.1.373	sulfolactaldehyde 3-reductase
1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase
1.1.1.375	L-2-hydroxycarboxylate dehydrogenase [NAD(P)(+)]
1.1.1.376	L-arabinose 1-dehydrogenase [NAD(P)(+)]
1.1.1.377	L-rhamnose 1-dehydrogenase (NADP(+))
1.1.1.378	L-rhamnose 1-dehydrogenase [NAD(P)(+)]
1.1.1.379	(R)-mandelate dehydrogenase
1.1.1.380	L-gulonate 5-dehydrogenase
1.1.1.381	3-hydroxy acid dehydrogenase
1.1.1.382	ketol-acid reductoisomerase (NAD(+))
1.1.1.383	ketol-acid reductoisomerase [NAD(P)(+)]
1.1.1.384	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
1.1.1.385	dihydroanticapsin 7-dehydrogenase
1.1.1.386	ipsdienol dehydrogenase
1.1.1.387	L-serine 3-dehydrogenase (NAD(+))
1.1.1.388	glucose-6-phosphate dehydrogenase (NAD(+))
1.1.1.389	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase
1.1.1.390	sulfoquinovose 1-dehydrogenase
1.1.1.391	3beta-hydroxycholanate 3-dehydrogenase (NAD(+))
1.1.1.392	3alpha-hydroxycholanate dehydrogenase (NADP(+))
1.1.1.393	3beta-hydroxycholanate 3-dehydrogenase (NADP(+))
1.1.1.394	aurachin B dehydrogenase
1.1.1.395	3alpha-hydroxybile acid CoA 3-dehydrogenase
1.1.1.396	bacteriochlorophyllide-a dehydrogenase
1.1.1.397	beta-methylindole-3-pyruvate reductase
1.1.1.398	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase
1.1.1.399	2-oxoglutarate reductase
1.1.1.400	2-methyl-1,2-propanediol dehydrogenase
1.1.1.401	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))
1.1.1.402	D-erythritol 1-phosphate dehydrogenase
1.1.1.403	D-threitol dehydrogenase (NAD(+))
1.1.1.404	tetrachlorobenzoquinone reductase
1.1.1.405	ribitol-5-phosphate 2-dehydrogenase (NADP(+))
1.1.1.406	galactitol 2-dehydrogenase (L-tagatose-forming)
1.1.1.407	D-altritol 5-dehydrogenase
1.1.1.408	4-phospho-D-threonate 3-dehydrogenase
1.1.1.409	4-phospho-D-erythronate 3-dehydrogenase
1.1.1.410	D-erythronate 2-dehydrogenase
1.1.1.411	L-threonate 2-dehydrogenase
1.1.1.412	2-alkyl-3-oxoalkanoate reductase
1.1.1.413	A-factor type gamma-butyrolactone 1'-reductase (1S-forming)
1.1.1.414	L-galactonate 5-dehydrogenase
1.1.1.415	noscapine synthase
1.1.1.416	isopyridoxal dehydrogenase (5-pyridoxolactone-forming)
1.1.1.417	3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating)
1.1.1.418	plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)
1.1.1.419	nepetalactol dehydrogenase
1.1.1.420	D-apiose dehydrogenase
1.1.1.421	D-apionate oxidoisomerase
1.1.1.422	pseudoephedrine dehydrogenase
1.1.1.423	(1R,2S)-ephedrine 1-dehydrogenase
1.1.1.424	D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,4-lactone-forming)
1.1.1.425	levoglucosan dehydrogenase
1.1.1.426	UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase
1.1.1.427	D-arabinose 1-dehydrogenase (NADP(+))
1.1.1.428	4-methylthio 2-oxobutanoate reductase (NADH)
1.1.1.429	(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA dehydrogenase
1.1.1.430	D-xylose reductase (NADH)
1.1.1.431	D-xylose reductase (NADPH)
1.1.1.432	6-dehydroglucose reductase
1.1.1.433	sulfoacetaldehyde reductase (NADH)
1.1.1.434	2-dehydro-3-deoxy-L-fuconate 4-dehydrogenase
1.1.1.435	L-fucose dehydrogenase
1.1.1.436	lactate dehydrogenase (NAD(+),ferredoxin)
1.1.1.437	5-dehydrofumagillol 5-reductase
1.1.1.438	cis-4-hydroxycyclohexanecarboxylate dehydrogenase
1.1.1.439	17-dehydrostemmadenine reductase
1.1.1.440	rhazimal reductase
1.1.1.441	polyprenol dehydrogenase [NAD(P)H]
1.1.1.n4	(-)-trans-carveol dehydrogenase
1.1.1.n5	3-methylmalate dehydrogenase
1.1.1.n11	succinic semialdehyde reductase
1.1.1.n12	(3R)-hydroxyacyl-CoA dehydrogenase
1.1.2.2	mannitol dehydrogenase (cytochrome)
1.1.2.3	L-lactate dehydrogenase (cytochrome)
1.1.2.4	D-lactate dehydrogenase (cytochrome)
1.1.2.5	D-lactate dehydrogenase (cytochrome c-553)
1.1.2.6	polyvinyl alcohol dehydrogenase (cytochrome)
1.1.2.7	methanol dehydrogenase (cytochrome c)
1.1.2.8	alcohol dehydrogenase (cytochrome c)
1.1.2.9	1-butanol dehydrogenase (cytochrome c)
1.1.2.10	lanthanide-dependent methanol dehydrogenase
1.1.2.11	glucoside 3-dehydrogenase (cytochrome c)
1.1.3.4	glucose oxidase
1.1.3.5	hexose oxidase
1.1.3.6	cholesterol oxidase
1.1.3.7	aryl-alcohol oxidase
1.1.3.8	L-gulonolactone oxidase
1.1.3.9	galactose oxidase
1.1.3.10	pyranose oxidase
1.1.3.11	L-sorbose oxidase
1.1.3.12	pyridoxine 4-oxidase
1.1.3.13	alcohol oxidase
1.1.3.14	catechol oxidase (dimerizing)
1.1.3.15	(S)-2-hydroxy-acid oxidase
1.1.3.16	ecdysone oxidase
1.1.3.17	choline oxidase
1.1.3.18	secondary-alcohol oxidase
1.1.3.19	4-hydroxymandelate oxidase (decarboxylating)
1.1.3.20	long-chain-alcohol oxidase
1.1.3.21	glycerol-3-phosphate oxidase
1.1.3.23	thiamine oxidase
1.1.3.27	hydroxyphytanate oxidase
1.1.3.28	nucleoside oxidase
1.1.3.29	N-acylhexosamine oxidase
1.1.3.30	polyvinyl-alcohol oxidase
1.1.3.37	D-arabinono-1,4-lactone oxidase
1.1.3.38	vanillyl-alcohol oxidase
1.1.3.39	nucleoside oxidase (H2O2-forming)
1.1.3.40	D-mannitol oxidase
1.1.3.41	alditol oxidase
1.1.3.42	prosolanapyrone-II oxidase
1.1.3.43	paromamine 6'-oxidase
1.1.3.44	6'''-hydroxyneomycin C oxidase
1.1.3.45	aclacinomycin-N oxidase
1.1.3.46	4-hydroxymandelate oxidase
1.1.3.47	5-(hydroxymethyl)furfural oxidase
1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase
1.1.3.49	(R)-mandelonitrile oxidase
1.1.3.50	C-glycoside oxidase
1.1.5.2	quinoprotein glucose dehydrogenase (PQQ, quinone)
1.1.5.3	glycerol-3-phosphate dehydrogenase
1.1.5.4	malate dehydrogenase (quinone)
1.1.5.5	alcohol dehydrogenase (quinone)
1.1.5.7	cyclic alcohol dehydrogenase (quinone)
1.1.5.8	quinate/shikimate dehydrogenase (quinone)
1.1.5.9	glucose 1-dehydrogenase (FAD, quinone)
1.1.5.10	D-2-hydroxyacid dehydrogenase (quinone)
1.1.5.11	1-butanol dehydrogenase (quinone)
1.1.5.12	D-lactate dehydrogenase (quinone)
1.1.5.13	(S)-2-hydroxyglutarate dehydrogenase
1.1.5.14	fructose 5-dehydrogenase
1.1.5.n1	quinoprotein inositol dehydrogenase
1.1.7.1	4-hydroxybenzoyl-CoA reductase
1.1.9.1	alcohol dehydrogenase (azurin)
1.1.98.2	glucose-6-phosphate dehydrogenase (coenzyme-F420)
1.1.98.3	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
1.1.98.4	F420H2:quinone oxidoreductase
1.1.98.5	secondary-alcohol dehydrogenase (coenzyme-F420)
1.1.98.6	ribonucleoside-triphosphate reductase (formate)
1.1.98.7	serine-type anaerobic sulfatase-maturating enzyme
1.1.99.1	choline dehydrogenase
1.1.99.2	L-2-hydroxyglutarate dehydrogenase
1.1.99.3	gluconate 2-dehydrogenase (acceptor)
1.1.99.4	dehydrogluconate dehydrogenase
1.1.99.6	D-lactate dehydrogenase (acceptor)
1.1.99.7	lactate--malate transhydrogenase
1.1.99.9	pyridoxine 5-dehydrogenase
1.1.99.12	sorbose dehydrogenase
1.1.99.13	glucoside 3-dehydrogenase (acceptor)
1.1.99.14	glycolate dehydrogenase
1.1.99.18	cellobiose dehydrogenase (acceptor)
