### D = Discrepancy, O = Oncaller, S = Submitter, T = SMART, B = Big, A = TSA, F = Fatal
DSTA	10_PERCENTN	DISC_10_PERCENTN
DO	MRNA_ON_WRONG_SEQUENCE_TYPE	DISC_mRNA_ON_WRONG_SEQUENCE_TYPE
O	MRNA_OVERLAPPING_PSEUDO_GENE	TEST_MRNA_OVERLAPPING_PSEUDO_GENE
O	MRNA_SEQUENCE_MINUS_STRAND_FEATURES	TEST_MRNA_SEQUENCE_MINUS_STRAND_FEATURES
DSTF	MRNA_SHOULD_HAVE_PROTEIN_TRANSCRIPT_IDS	MRNA_SHOULD_HAVE_PROTEIN_TRANSCRIPT_IDS
OST	MULTIPLE_CDS_ON_MRNA	MULTIPLE_CDS_ON_MRNA
O	MULTIPLE_CULTURE_COLLECTION	ONCALLER_MULTIPLE_CULTURE_COLLECTION
DO	MULTIPLE_QUALS	-
DO	MULTISRC	ONCALLER_MULTISRC
D	NONWGS_SETS_PRESENT	DISC_NONWGS_SETS_PRESENT
DOST	NON_GENE_LOCUS_TAG	NON_GENE_LOCUS_TAG
O	NON_RETROVIRIDAE_PROVIRAL	NON_RETROVIRIDAE_PROVIRAL
D	NOTE_NO_TRANSL	NOTE_NO_TRANSL
DOSTB	NO_ANNOTATION	NO_ANNOTATION
DSTF	NO_LOCUS_TAGS	-
D	NO_PRODUCT_STRING	NO_PRODUCT_STRING
DSTBF	N_RUNS	N_RUNS
DA	N_RUNS_14	N_RUNS_14
DOT	ORDERED_LOCATION	ONCALLER_ORDERED_LOCATION
DO	ORG_TRNAS	-
O	ORGANELLE_ITS	-
DO	ORGANELLE_NOT_GENOMIC	TEST_ORGANELLE_NOT_GENOMIC
O	ORGANELLE_PRODUCTS	TEST_ORGANELLE_PRODUCTS
D	OVERLAPPING_CDS	OVERLAPPING_CDS
D	OVERLAPPING_GENES	OVERLAPPING_GENES
DSTF	OVERLAPPING_RRNAS	TEST_OVERLAPPING_RRNAS
DOST	PARTIAL_CDS_COMPLETE_SEQUENCE	PARTIAL_CDS_COMPLETE_SEQUENCE
DOSTF	PARTIAL_PROBLEMS	DISC_PARTIAL_PROBLEMS
DSTB	PERCENT_N	DISC_PERCENT_N
O	POSSIBLE_LINKER	DISC_POSSIBLE_LINKER
DST	PROTEIN_NAMES	DISC_PROTEIN_NAMES
DOSTF	PSEUDO_MISMATCH	PSEUDO_MISMATCH
DT	QUALITY_SCORES	DISC_QUALITY_SCORES
OF	RBS_WITHOUT_GENE	DISC_RBS_WITHOUT_GENE
O	REQUIRED_CLONE	DISC_REQUIRED_CLONE
DST	REQUIRED_STRAIN	DISC_REQUIRED_STRAIN
O	RETROVIRIDAE_DNA	DISC_RETROVIRIDAE_DNA
DTF	RIBOSOMAL_SLIPPAGE	-
DSTF	RNA_CDS_OVERLAP	RNA_CDS_OVERLAP
DOST	RNA_NO_PRODUCT	RNA_NO_PRODUCT
O	RNA_PROVIRAL	RNA_PROVIRAL
DSTF	RRNA_NAME_CONFLICTS	RRNA_NAME_CONFLICTS
O	SARS_QUALS	-
DTF	SEGSETS_PRESENT	DISC_SEGSETS_PRESENT
DSTBA	SEQ_SHORTER_THAN_200bp	SHORT_CONTIG
DSTB	SEQ_SHORTER_THAN_50bp	SHORT_SEQUENCES
DOST	SHORT_INTRON	DISC_SHORT_INTRON
DOST	SHORT_LNCRNA	TEST_SHORT_LNCRNA
DOT	SHORT_PROT_SEQUENCES	SHORT_PROT_SEQUENCES
DOSTF	SHORT_RRNA	DISC_SHORT_RRNA
DSTF	SHOW_HYPOTHETICAL_CDS_HAVING_GENE_NAME	SHOW_HYPOTHETICAL_CDS_HAVING_GENE_NAME
DST	SHOW_TRANSL_EXCEPT	SHOW_TRANSL_EXCEPT
O	SMALL_GENOME_SET_PROBLEM	TEST_SMALL_GENOME_SET_PROBLEM
DOSTBF	SOURCE_QUALS	DISC_SOURCE_QUALS_ASNDISC
OT	SPECVOUCHER_TAXNAME_MISMATCH	DISC_SPECVOUCHER_TAXNAME_MISMATCH
O	SP_NOT_UNCULTURED	TEST_SP_NOT_UNCULTURED
OT	STRAIN_CULTURE_COLLECTION_MISMATCH	ONCALLER_STRAIN_CULTURE_COLLECTION_MISMATCH
DO	STRAIN_TAXNAME_MISMATCH	DISC_STRAIN_TAXNAME_MISMATCH
DOT	SUBMITBLOCK_CONFLICT	DISC_SUBMITBLOCK_CONFLICT
DO	SUPERFLUOUS_GENE	ONCALLER_SUPERFLUOUS_GENE
DST	SUSPECT_PHRASES	SUSPECT_PHRASES
DOSTAF	SUSPECT_PRODUCT_NAMES	SUSPECT_PRODUCT_NAMES
DST	SUSPECT_RRNA_PRODUCTS	DISC_SUSPECT_RRNA_PRODUCTS
O	SUSPICIOUS_NOTE_TEXT	DISC_SUSPICIOUS_NOTE_TEXT
OSTB	SUSPICIOUS_SEQUENCE_ID	-
O	SWITCH_STRUCTURED_COMMENT_PREFIX	ONCALLER_SWITCH_STRUCTURED_COMMENT_PREFIX
D	TAX_LOOKUP_MISMATCH	TAX_LOOKUP_MISMATCH
D	TAX_LOOKUP_MISSING	TAX_LOOKUP_MISSING
DO	TAXNAME_NOT_IN_DEFLINE	TEST_TAXNAME_NOT_IN_DEFLINE
DTBF	TERMINAL_NS	TEST_TERMINAL_NS
DOTF	TITLE_AUTHOR_CONFLICT	DISC_TITLE_AUTHOR_CONFLICT
DSTB	TITLE_ENDS_WITH_SEQUENCE	DISC_TITLE_ENDS_WITH_SEQUENCE
D	TRANSL_NO_NOTE	TRANSL_NO_NOTE
D	TRANSL_TOO_LONG	TRANSL_TOO_LONG
DOT	TRINOMIAL_SHOULD_HAVE_QUALIFIER	DISC_TRINOMIAL_SHOULD_HAVE_QUALIFIER
OF	UNCULTURED_NOTES	UNCULTURED_NOTES_ONCALLER
O	UNNECESSARY_ENVIRONMENTAL	TEST_UNNECESSARY_ENVIRONMENTAL
O	UNNECESSARY_VIRUS_GENE	TEST_UNNECESSARY_VIRUS_GENE
DOSTBF	UNPUB_PUB_WITHOUT_TITLE	DISC_UNPUB_PUB_WITHOUT_TITLE
DO	UNUSUAL_ITS	-
DST	UNUSUAL_MISC_RNA	TEST_UNUSUAL_MISC_RNA
DST	UNUSUAL_NT	TEST_UNUSUAL_NT
O	UNWANTED_SET_WRAPPER	TEST_UNWANTED_SET_WRAPPER
O	UNWANTED_SPACER	TEST_UNWANTED_SPACER
DOT	USA_STATE	DISC_USA_STATE
DOSTB	ZERO_BASECOUNT	ZERO_BASECOUNT
